"User_ID","Product_ID","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Product_Category_1","Product_Category_2","Product_Category_3","Purchase","Income"
"1001680","P00059442","M","26-35","20","A","3","1","6","8","16","8558","12003"
"1004725","P00297042","M","36-45","5","A","2","0","8","0","0","14584","7908"
"1004922","P00170642","M","18-25","17","C","1","0","5","8","0","6854","17234"
"1002810","P00286742","F","0-17","10","B","2","0","1","16","0","13866","15358"
"1000669","P00052242","M","26-35","17","B","2","0","8","0","0","4142","7423"
"1003340","P00153842","M","46-50","16","C","1","1","8","14","16","11194","9314"
"1000199","P00165842","M","18-25","4","B","1","0","14","0","0","17222","12914"
"1000971","P00145442","M","26-35","12","B","2","1","8","15","0","8713","14175"
"1001939","P00110742","F","36-45","2","C","3","0","1","2","8","17103","13963"
"1005423","P00117642","F","51-55","5","C","0","1","10","16","0","5645","16948"
"1003140","P00233642","F","26-35","4","C","1","0","1","15","0","5942","12276"
"1004271","P00223942","M","36-45","7","B","2","0","5","8","0","8720","15290"
"1004083","P00144642","M","55+","14","A","0","0","1","15","16","19056","13230"
"1001966","P00118742","M","26-35","20","C","2","0","5","11","0","13519","16227"
"1000113","P00142142","M","18-25","12","C","2","0","1","2","15","3777","8978"
"1002446","P00198142","M","18-25","7","B","0","0","2","4","9","3366","18333"
"1004388","P00302442","M","46-50","3","B","2","1","5","6","0","10669","10411"
"1001139","P00117742","M","26-35","1","C","2","0","8","0","0","2841","16864"
"1000711","P00308242","M","26-35","18","A","4+","0","5","8","14","9656","14605"
"1002909","P00116942","M","26-35","7","A","1","0","6","10","16","12463","11230"
"1001614","P00142142","M","36-45","0","B","1","1","1","2","15","9321","11892"
"1005913","P00002542","F","18-25","0","B","0","0","8","14","0","1943","16356"
"1002529","P00194442","F","36-45","9","A","3","0","5","0","0","2074","11448"
"1003294","P00064242","M","18-25","4","B","3","0","5","0","0","6907","12634"
"1003143","P00199442","F","51-55","16","C","1","1","5","9","0","18314","8309"
"1001605","P0099342","F","18-25","0","B","1","0","5","8","0","4092","15955"
"1002793","P00148342","M","36-45","7","B","3","0","5","0","0","17309","10065"
"1002878","P00279442","F","51-55","20","A","2","1","16","0","0","10941","13642"
"1002205","P00319342","F","26-35","7","A","3","1","5","8","0","10843","11999"
"1004514","P00240542","M","18-25","3","C","2","1","5","11","0","8026","14452"
"1001861","P00038342","M","51-55","16","A","1","1","2","4","0","16613","15033"
"1003615","P00112342","M","26-35","17","C","2","0","13","16","0","13158","12711"
"1005530","P00223042","F","18-25","4","B","0","0","1","2","8","3397","16373"
"1001806","P00307542","M","18-25","4","B","1","0","1","15","0","4535","12736"
"1004578","P00152742","M","26-35","0","A","4+","0","5","0","0","3768","15225"
"1005382","P00114942","M","18-25","4","C","0","1","1","15","16","7393","6953"
"1005824","P00244142","M","18-25","12","B","1","0","1","2","15","10027","12410"
"1006016","P00257642","M","46-50","1","B","1","1","5","11","0","8661","12826"
"1003589","P0096342","F","46-50","0","B","1","1","8","0","0","11761","12088"
"1001709","P00216342","M","26-35","0","C","1","1","3","4","5","8160","12036"
"1006016","P00170942","M","46-50","1","B","1","1","5","8","14","14442","11279"
"1003965","P00240042","M","18-25","11","C","3","0","5","0","0","8171","18617"
"1004043","P00304642","F","26-35","15","B","3","0","2","14","15","8942","15427"
"1001097","P00146742","M","18-25","17","A","4+","0","1","13","14","8094","12962"
"1000531","P00331942","F","18-25","14","B","0","0","5","0","0","14180","10559"
"1000371","P00255542","M","18-25","4","B","4+","0","5","0","0","10263","17420"
"1001324","P00265242","M","36-45","16","B","3","0","5","8","0","8978","12185"
"1004473","P00173242","M","36-45","1","B","3","0","5","0","0","6168","13317"
"1005847","P00148342","F","18-25","4","B","2","0","5","0","0","9659","15446"
"1004285","P00140742","M","36-45","0","B","3","0","1","15","0","21035","15726"
"1000624","P00109142","M","26-35","1","B","3","0","8","17","0","12604","13668"
"1004447","P00088542","M","46-50","5","B","0","1","5","12","14","11403","4800"
"1001068","P00139942","F","18-25","4","B","2","0","5","0","0","18864","10649"
"1003676","P00345742","F","36-45","12","B","3","1","1","2","15","13566","12252"
"1000651","P00289342","M","36-45","7","B","2","0","5","8","14","9460","14029"
"1004812","P00101842","M","18-25","14","C","2","0","6","16","0","13240","12061"
"1005126","P00259342","M","26-35","11","B","4+","0","5","9","0","10126","12880"
"1001937","P00112142","M","26-35","11","C","4+","0","1","2","14","10429","13717"
"1003982","P00102642","M","55+","13","C","2","0","4","8","9","8598","14730"
"1005912","P00112542","M","26-35","1","C","2","0","1","11","15","10893","17790"
"1002782","P00164342","F","18-25","4","C","4+","0","5","8","0","12950","9855"
"1002168","P00021742","M","0-17","10","B","4+","0","5","0","0","19445","14401"
"1001951","P00034242","F","18-25","4","C","1","0","5","8","14","11660","11854"
"1003032","P00221042","M","26-35","0","A","1","1","1","17","0","1046","11994"
"1001758","P00282642","F","26-35","0","B","1","0","5","0","0","9626","14631"
"1002975","P00117642","M","36-45","11","C","1","1","10","16","0","18993","13643"
"1002355","P00104942","F","46-50","9","C","2","1","5","0","0","10276","8812"
"1000088","P00176642","F","46-50","1","C","1","1","6","8","0","12914","13504"
"1003650","P00171642","M","26-35","0","A","2","0","5","8","14","4091","9371"
"1000450","P00113042","M","46-50","1","C","1","1","11","16","0","1609","14415"
"1003055","P00034442","F","26-35","3","C","1","1","1","14","16","12020","14564"
"1004725","P00193842","M","36-45","5","A","2","0","11","16","0","6086","12542"
"1004508","P00058042","M","26-35","20","A","2","0","8","16","0","14086","15534"
"1000992","P00317942","F","36-45","3","B","2","0","8","16","0","62","11948"
"1000163","P00276842","M","18-25","4","A","1","0","5","14","0","5336","12531"
"1003681","P00289442","M","26-35","7","B","3","0","8","0","0","-163","13428"
"1003029","P00186642","M","18-25","4","A","4+","0","2","4","15","13609","9810"
"1000045","P00144442","F","46-50","16","A","1","1","5","14","0","9042","13415"
"1003017","P00251442","F","36-45","9","B","1","0","5","0","0","18285","13925"
"1003771","P00169742","M","26-35","1","B","0","0","1","8","15","5147","12954"
"1000570","P00062842","M","26-35","4","A","4+","0","1","2","13","3691","14219"
"1004882","P00104942","M","46-50","11","B","2","1","5","0","0","10486","12474"
"1004053","P00205142","M","26-35","18","B","1","0","8","0","0","10785","10865"
"1003675","P00190542","M","36-45","7","B","3","0","3","4","0","9068","14513"
"1004083","P00065042","M","55+","14","A","0","0","5","15","0","6317","14261"
"1001029","P00196142","M","26-35","0","B","0","0","3","4","5","11189","9982"
"1002091","P00057642","F","36-45","20","C","1","0","1","15","16","18290","12528"
"1000991","P00083942","F","26-35","9","A","3","1","12","14","0","-3245","14278"
"1002784","P00111842","M","51-55","20","C","2","1","8","0","0","6053","19402"
"1005788","P00190842","M","26-35","0","A","4+","0","2","5","12","9623","9697"
"1005172","P00362342","F","36-45","11","B","1","0","5","0","0","17406","11870"
"1000877","P00042742","M","26-35","0","B","1","1","5","14","0","16716","19248"
"1000855","P00150342","F","18-25","2","A","2","1","8","14","0","12782","13297"
"1002258","P00053342","F","18-25","4","B","4+","0","1","2","4","11447","14696"
"1000202","P00031042","M","18-25","4","A","3","0","8","0","0","7629","12560"
"1003695","P00194442","M","26-35","2","A","2","0","5","0","0","16776","12162"
"1003257","P00317842","M","26-35","14","C","1","0","8","0","0","13741","13537"
"1000889","P00003442","M","46-50","20","A","1","0","4","5","8","20787","12781"
"1001425","P00129342","M","0-17","10","B","1","0","1","5","15","12492","15750"
"1002383","P00010542","F","26-35","14","B","3","0","2","4","5","17643","10603"
"1000658","P00183342","F","26-35","0","B","1","0","5","15","18","9618","12281"
"1000533","P00187242","M","26-35","12","A","1","0","4","5","0","154","16575"
"1005747","P00327642","M","26-35","0","B","4+","1","18","0","0","11619","12902"
"1005811","P00088342","M","18-25","4","B","3","0","8","14","0","5903","13365"
"1000033","P00057642","M","46-50","3","A","1","1","1","15","16","8403","14787"
"1003655","P00182642","F","26-35","7","B","4+","0","2","4","9","13343","11643"
"1002106","P0094242","F","18-25","20","A","3","1","8","0","0","13075","13008"
"1005281","P00195442","M","26-35","2","A","2","0","5","0","0","12868","11462"
"1001096","P00211142","M","0-17","10","C","1","0","5","0","0","16883","16443"
"1004626","P00128742","M","26-35","14","B","4+","0","1","0","0","10700","11364"
"1001331","P00297742","M","46-50","0","C","4+","1","8","17","0","10661","12977"
"1001984","P00132942","M","18-25","10","B","2","1","1","0","0","6885","10725"
"1002436","P00049542","M","26-35","7","B","2","0","8","0","0","10196","15480"
"1003118","P00041342","M","26-35","0","B","1","0","11","15","16","12244","12651"
"1002047","P00296242","M","0-17","10","B","1","0","8","0","0","14005","11213"
"1001856","P00226342","M","55+","7","C","3","1","11","15","0","7339","12992"
"1003789","P00112242","F","26-35","0","A","0","0","5","8","14","4136","16232"
"1001743","P0097142","M","36-45","17","C","0","0","12","0","0","9544","11756"
"1001812","P00050142","F","26-35","12","A","4+","1","5","0","0","18164","10873"
"1002837","P00182742","M","18-25","0","B","1","0","1","2","14","12954","15243"
"1004508","P00184942","M","26-35","20","A","2","0","1","8","17","249","14918"
"1000929","P00326242","M","26-35","15","A","1","0","2","18","0","6033","17203"
"1001542","P00303242","M","18-25","17","C","4+","0","5","8","0","14602","10780"
"1000839","P00174242","M","26-35","0","A","2","0","15","16","0","12504","15545"
"1004041","P00332442","M","18-25","3","B","2","0","16","0","0","7275","12262"
"1005776","P00001042","M","18-25","12","B","3","1","1","2","16","8185","17245"
"1004999","P00295942","F","55+","13","B","2","1","2","5","15","6452","6420"
"1005129","P00264042","M","46-50","17","B","1","1","4","0","0","13724","9841"
"1003491","P00021742","M","26-35","16","B","1","0","5","0","0","2221","17509"
"1001943","P00048042","M","18-25","4","B","0","0","1","6","8","5331","14450"
"1001616","P00183242","M","26-35","0","C","0","1","5","15","0","15689","13030"
"1004268","P00255742","F","46-50","20","B","3","0","3","4","0","7530","11732"
"1005367","P00330342","M","18-25","4","A","1","0","5","11","16","11186","6094"
"1001044","P00112142","M","26-35","20","A","0","0","1","2","14","11589","12261"
"1000911","P00112442","M","51-55","0","B","3","1","6","8","0","16349","6942"
"1001749","P00177342","M","26-35","2","B","1","1","8","0","0","11172","15041"
"1001010","P00221742","M","26-35","0","A","1","0","1","8","0","1481","9746"
"1003051","P00048042","M","18-25","17","B","0","0","1","6","8","10510","15261"
"1005627","P00085042","M","26-35","0","A","4+","1","5","6","0","10456","12581"
"1000391","P00145942","M","46-50","11","C","2","1","6","8","13","9367","14538"
"1005111","P00126142","M","36-45","2","B","1","1","8","16","0","11977","12746"
"1001943","P00142742","M","18-25","4","B","0","0","5","14","0","14325","14536"
"1003010","P00019342","M","26-35","12","A","0","0","1","6","15","18749","9582"
"1000337","P00318742","M","18-25","19","C","0","0","1","8","0","19953","12330"
"1001383","P00021342","F","26-35","7","A","1","0","5","8","0","14685","10986"
"1004343","P00140742","M","26-35","12","C","1","1","1","15","0","9654","12646"
"1003885","P00118342","M","26-35","12","B","4+","1","2","3","15","5817","12892"
"1003691","P00260442","M","26-35","7","B","1","1","1","15","0","17217","11680"
"1005129","P00052842","M","46-50","17","B","1","1","10","15","0","13561","9749"
"1004379","P00086042","M","26-35","4","B","3","0","8","14","17","3211","11909"
"1004953","P00074642","M","36-45","12","B","4+","0","5","9","14","11357","10322"
"1001422","P00124642","M","36-45","17","B","3","0","16","0","0","13859","12793"
"1004342","P00140742","M","26-35","0","C","2","1","1","15","0","13730","15286"
"1001099","P00005142","M","26-35","17","C","4+","0","5","0","0","7627","12883"
"1003935","P00114442","M","36-45","18","C","4+","0","5","6","0","11504","14521"
"1002109","P00150542","M","26-35","16","B","2","0","5","0","0","12236","13725"
"1004250","P00149442","F","51-55","0","C","4+","1","1","8","16","11658","13669"
